turns,balance,speed,y
2,15000,0,0
3,14946,3,3
4,14946,1,4
5,14946,1,5
6,14946,1,6
7,13343,4,10
8,13194,7,17
9,13194,7,24
10,13194,1,25
11,12920,4,29
12,12920,4,33
13,12920,4,37
14,7495,7,44
15,7495,7,51
16,7495,7,58
17,6582,10,68
18,6582,10,78
19,6582,10,88
20,6582,10,98
21,2336,13,111
22,2336,13,124
23,2336,13,137
24,2336,13,150
25,2336,13,163
26,2336,13,176
27,2336,1,177
28,2336,1,178
29,2336,1,179
30,300,4,183
31,300,4,187
32,300,4,191
33,300,4,195
34,300,4,199
35,300,4,203
36,300,4,207
37,300,4,211
38,167,4,215
39,167,4,219
40,167,4,223
41,167,4,227
42,167,4,231
43,167,4,235
44,167,4,239
45,167,4,243
46,5,7,250
47,5,7,257
48,5,1,258
49,5,1,259
50,5,1,260
51,5,1,261
52,5,1,262
53,5,1,263
54,5,1,264
55,5,1,265
56,5,1,266
57,5,1,267
58,5,1,268
59,5,1,269
60,5,1,270
61,5,1,271
62,5,1,272
63,3,1,273
64,3,1,274
65,3,1,275
66,3,1,276
67,3,1,277
68,3,1,278
69,2,1,279
70,2,1,280
71,2,1,281
72,1,4,285
73,1,4,289
74,1,4,293
75,1,4,297
76,1,4,301
77,1,4,305
78,1,4,309
79,1,7,316
80,1,10,326
81,1,10,336
82,1,10,346
83,1,13,359
84,1,13,372
85,1,13,385
86,1,13,398
87,1,13,411
88,1,13,424
89,1,16,440
90,1,16,456
91,1,1,457
92,1,4,461
93,1,4,465
93,1,4,469
